BASE_YEAR,GUGUN_DC,DONG_DC,CSP_PC
2016,부산진구,부전2동,245971000000
2016,중구,중앙동,37006000000
2016,해운대구,우1동,40362000000
2016,해운대구,우2동,67695000000
2016,해운대구,중1동,48643000000
2017,부산진구,부전2동,172758000000
2017,중구,중앙동,25273000000
2017,해운대구,우1동,30489000000
2017,해운대구,우2동,44461000000
2017,해운대구,중1동,32841000000
2018,강서구,대저2동,26179000000
2018,기장군,기장읍,24186000000
2018,부산진구,부전2동,162052000000
2018,중구,광복동,14136000000
2018,중구,중앙동,33966000000
2018,해운대구,우1동,32357000000
2018,해운대구,우2동,33582000000
2018,해운대구,우3동,14619000000
2018,해운대구,중1동,29899000000
2019,강서구,대저2동,30208000000
2019,기장군,기장읍,25727000000
2019,부산진구,부전2동,156771000000
2019,중구,광복동,15448000000
2019,중구,중앙동,34392000000
2019,해운대구,우1동,33312000000
2019,해운대구,우2동,35105000000
2019,해운대구,우3동,14255000000
2019,해운대구,중1동,32905000000
2020,강서구,녹산동,206153000000
2020,기장군,기장읍,265660000000
2020,기장군,장안읍,121257000000
2020,부산진구,부전2동,217952000000
2020,해운대구,우2동,363085000000
