국가,쇼핑,식도락관광,자연경관감상,고궁/역사유적지방문,"업무수행(회의,학술대회,박람회등참여)",유흥/오락,"박물관,전시관방문","전통문화체험(한복체험,태권도,한국음식만들기등)","연수,교육,연구",시찰(산업시설등),K-POP/한류스타관련공연장및드라마/영화촬영지방문,뷰티/의료관광,스포츠/레저관람및참가,기타
일본,91.79,88.26,27.23,22.29,15.6,13.86,5.14,9.87,1.4,1.35,15.28,12.09,2.1,1.51
중국,95.14,92.36,68.21,37.73,11.89,16.9,18.73,17.79,4.03,1.24,14.42,9.11,3.94,0.68
홍콩,94.8,79.9,60.96,41.14,11.77,21.98,18.3,20.86,2.05,1.14,17.56,5.78,7.93,0.33
싱가포르,94.76,48.2,68.89,61.56,20.21,32.74,29.39,26.99,2.34,1.51,19.03,10.99,10.45,0.5
대만,97.06,82.96,64.91,57.04,9.54,28.98,26.24,38.74,1.6,1.73,22.28,3.87,8.67,0.26
태국,97.2,47.3,69.38,66.53,9.35,38.14,40.31,44.64,6.84,4.82,25.31,9.48,8.41,0.12
말레이시아,96.71,55.07,79.44,72.8,12.98,26.12,35.64,42.01,3.64,0.75,18.5,14.71,13.24,0.14
호주,79.92,40.53,64.6,67.31,22.48,25.55,39.25,33.66,3.04,1.3,10.14,8.77,11.37,2.36
미국,79.22,34.87,60.11,61.27,35.53,24.47,36.78,29.32,7.61,2.09,10.93,9.64,8.99,1.9
캐나다,82.83,41.83,64.21,72.2,22.61,21.44,39.31,32.3,3.99,1.78,10.52,12.03,9.14,2.49
영국,72.94,39.38,59.28,61.34,41.91,23.1,34.05,27.25,6.88,3.41,6.86,7.88,13.28,1.21
독일,69.36,33.24,48.62,59.12,40.95,19.71,35.36,25.4,8.11,7.85,11.85,4.85,6.36,0.42
프랑스,81.64,62.64,61.16,74.15,29.2,29.08,49.85,31.05,6.83,2.29,11.1,11.77,7.14,1.31
러시아,90.83,63.95,83.72,55.3,19.13,37.26,26.41,32.55,7.98,2.12,5.61,19.98,3.86,0.17
인도,89.21,31.04,55.05,47.47,77.2,23.55,25.29,20.7,15.06,5.71,6.58,10.32,5.94,1.12
필리핀,97.31,58.12,77.29,78.81,12.51,31.42,39.98,47.61,4.34,0.53,24.68,9.43,5.45,0.9
인도네시아,98.54,76.11,76.99,71.81,20.73,27.82,35.53,49.04,6.65,3.59,28.73,14.1,11.27,0.9
베트남,94.27,93.43,80.62,69.77,10.91,33.88,40.84,47.54,2.78,1.99,15.06,8.46,4.26,0.44
몽골,97.36,51.26,54.37,44.74,26.62,17.87,20.11,20.39,9.07,9.73,6.96,15.77,8.92,1.48
중동전체,88.51,39.19,60.74,51.97,31.14,25.92,29.06,29.62,11.14,3.74,7.65,23.08,4.9,0.15
중앙아시아,90.34,41.91,62.33,50.02,29.11,31.06,25.55,30.15,12.63,3.71,5.15,27.17,4.74,0.2
GCC,89.95,25.17,63.54,64.16,20.04,21.73,41.38,35.89,6.53,6.82,11.95,21.76,7.02,0.16
중동기타,82.13,41.08,54.12,49.13,44.96,13.77,30.72,23.62,10.01,1.65,11.95,11.98,3.86,0
전체,92.53,76.78,59.5,45.28,16.74,20.92,22.56,23.73,4.23,1.79,15.47,9.9,5.44,0.88
기타,85.89,36.24,61.98,71.28,37.64,20.78,45.75,32.99,13.14,3.4,13.76,9.9,7.34,1
