연령,연도,쇼핑,식도락관광,자연경관감상,고궁/역사유적지방문,업무수행,유흥/오락,"박물관,전시관방문",테마파크,"휴양,휴식","미팅,회의,학술대회,박람회참가","공연,민속행사,축제참가및관람",시티투어버스이용,전통문화체험,"온천,스파","연수,교육,연구",뷰티관광,레포츠활동,카지노,스포츠활동,산업시설시찰,의료관광,직업적스포츠활동,기타
15-20세,2015,80.3,51.2,27.92,26.74,2.64,18.04,10.77,12.34,6.34,1.01,7.89,8.06,6.9,3.41,8.91,2.83,3.05,3.15,3.05,0.75,0.91,0.86,1.24
21-30세,2015,78.84,52.89,30.16,24.93,5.97,16.52,10.8,9.96,6.03,3.36,6.22,6.98,5.52,4.98,5.93,3.89,2.82,2.21,2.68,1.17,1.11,0.37,1.6
31-40세,2015,71.84,48.93,30.19,25.28,15.34,10.79,10.97,8.13,6.93,8.22,6.57,6.29,4.34,4.56,3.27,3.69,2.19,2.34,1.85,1.89,1.11,0.49,1.98
41-50세,2015,62.45,39.3,29.02,25.05,23.84,5.96,10.13,6.58,9.89,13.43,7.9,7.57,4.97,5.38,3.7,2.54,1.79,2.05,1.9,2.72,1.15,0.86,1.38
51-60세,2015,53.25,33.48,29.24,31.2,23.52,4.89,9.16,4.05,11.65,14.35,8.47,6.13,5.93,4.71,3.11,2.21,2.15,1.75,1.15,2.91,1.47,0.6,3.79
61세이상,2015,60.23,37.95,36.24,38.66,12.96,4.42,9.3,3.95,11.2,9.32,6.34,5.91,3.81,3.87,2.39,2.52,2.12,1.73,2.63,2.12,1.13,0.4,5.38
모름/무응답,2015,68.4,54.93,19.09,28.95,10.97,12.67,3.43,3.84,2.57,0,9.82,5.47,4.63,3.64,3.25,9.07,0,4.47,1.19,1.19,8.18,0,6.7
15-20세,2016,81.09,52.82,25.07,24.17,1.04,23.05,8.66,17.71,4.94,0.75,10.51,4.15,6.29,4.96,13.43,2.53,2.32,5.11,2.7,0.88,1.15,0.55,0.41
21-30세,2016,82.33,57.24,29.73,22.69,4.56,20.35,10.87,11.5,7.75,1.94,6.7,4.67,5.33,5.64,5.51,3.73,2.21,2.76,2.22,0.64,0.7,0.22,1.01
31-40세,2016,78.21,50.72,27.51,25.95,12.47,13.15,10.76,10.93,8.6,4.41,7.86,5.29,4.36,4.46,2.28,3.04,1.84,2.44,1.89,1.62,1.59,0.22,1.48
41-50세,2016,63.59,42.09,24.63,26.28,25.89,7.1,9.82,7.32,8.22,12.13,10.14,6.86,4.01,4.99,2.87,2.93,1.58,1.46,2.55,2.38,0.73,0.51,1.45
51-60세,2016,51.26,35.29,34.91,32.16,27.69,4.35,8.63,4.25,14.41,13.67,8.34,6.5,4.12,5.2,2.23,2.18,2,1.19,2.03,1.73,0.78,0.63,1.95
61세이상,2016,51.71,33.05,34.05,30.45,19.82,4.71,16.1,3.96,12.36,12.13,10.84,4.48,5.37,4.49,3.11,1.81,2.5,0.97,1.27,1.09,0.76,0,3.72
모름/무응답,2016,74.4,55.32,31.97,8.19,23.1,4.16,8.97,4.64,7.34,21.57,4.16,0,0,7.83,0.57,3.66,0,8.44,2.48,0.57,0,1.94,3.76
15-20세,2017,82.09,54.46,21.7,20.8,1.51,19.02,8,13.71,7.2,1.95,7.2,3.2,7.2,4,18.82,5.28,2.55,2.1,2.63,0.31,1.18,0.81,1
21-30세,2017,77.07,59.77,26.6,22.7,6.95,19.52,8.5,8.41,8.23,2.58,5.9,3.4,6.2,4.89,8.4,3.74,2.76,1.95,2.79,0.89,1.53,0.5,1.2
31-40세,2017,74.14,59.57,23.8,24,18.12,13.46,6.9,8.28,8.1,5.88,4.4,3.6,4.7,4.74,3.6,3.43,2,1.83,2.9,2.02,1.73,0.41,1.4
41-50세,2017,63.61,55.44,26,23.6,27.69,8.08,5.8,6.15,8.37,10.23,5.6,2.4,4.8,5.03,3.41,2.74,1.9,1.23,2.51,2.06,1.43,0.48,1.5
51-60세,2017,59.08,57.16,31.3,24.8,23.09,4.17,7.3,3.85,8.61,7.91,6.4,3.8,4.4,5.34,3.51,3.02,0.77,2.05,0.84,1.91,1.26,0.5,2.8
61세이상,2017,58.39,51.25,24.3,28.3,19.92,2.78,8.9,3.92,7.23,9.37,6.5,3,5.9,4.54,5.5,3.91,2.17,5.13,1.2,2.84,2.17,0.37,4.6
모름/무응답,2017,86.72,73.57,48.7,10.2,16.92,5.01,3.9,15.08,15.03,11.37,0,0,0,0,0,2.33,0,1.42,0,5.04,0,0,0
15-20세,2018,99.23,69.33,51.12,49.6,2.38,18.23,26.55,28.65,12.73,,24.64,9.07,27.12,,15.84,13.26,4.76,,4.38,0.53,3.55,,0.43
21-30세,2018,96.01,73.85,54.34,43.16,10.41,17.32,21.46,21.45,16.26,,16.04,8.49,19.82,,6.28,8.69,5.15,,4.86,1.18,2.89,,1.44
31-40세,2018,93.81,71.84,53.79,40.94,20.75,14.8,19.24,19.01,14.8,,11.14,8.32,16.76,,4.56,7.21,3.22,,4,2.16,3.17,,1.81
41-50세,2018,89.31,67.58,52.15,40.56,26.22,10.56,17.28,15.06,13.86,,10.41,7.77,16.5,,3.51,6.24,3.1,,3.95,2.29,2.98,,1.93
51-60세,2018,88.95,69.45,58.38,44.02,22.6,10.3,18.52,14.79,14.13,,9.44,6.72,15.92,,2.73,4.36,2.51,,3.33,1.73,2.08,,3.28
61세이상,2018,81.02,73.87,53.54,42.63,17.33,8.14,12.1,9.74,5.66,,7.02,3.01,9.46,,2.42,3.4,3.3,,2.05,0.59,1.9,,3.77
모름/무응답,2018,,,,,,,,,,,,,,,,,,,,,,,
15-20세,2019,96.39,75.4,53.94,43.4,3.32,34.84,27.44,,,,,,32.9,,11.63,,,,,0.51,,,0.6
21-30세,2019,96.85,80.17,59.68,45.28,8.61,26.42,23.58,,,,,,27.13,,5.26,,,,,1.05,,,0.61
31-40세,2019,93.62,76.58,58.95,42.6,20.68,20.31,22.55,,,,,,21.68,,3.52,,,,,2.29,,,0.63
41-50세,2019,89.68,72.63,56.23,43.3,25.25,17.95,20.3,,,,,,20.48,,3.58,,,,,1.92,,,1.16
51-60세,2019,87.63,73.79,62.37,48,22.1,13.42,20.93,,,,,,21.33,,2.83,,,,,2.68,,,1.39
61세이상,2019,82.31,79.95,65.41,55.89,16.36,12.55,24.87,,,,,,22.62,,2.07,,,,,1.91,,,1.4
모름/무응답,2019,,,,,,,,,,,,,,,,,,,,,,,
