Date,Plan,IROPS,AWS,MWS,IROPS_Ratio_Plan
20210101,310,46,5.5,13,14.83870968
20210102,286,23,8.3,15,8.041958042
20210103,291,38,4.4,11,13.05841924
20210104,257,33,5.3,15,12.84046693
20210105,319,20,9.3,17,6.269592476
20210106,362,76,9.5,33,20.99447514
20210107,419,149,17.5,28,35.56085919
20210108,392,72,9.7,18,18.36734694
20210109,372,60,7.7,15,16.12903226
20210110,374,61,3.6,10,16.31016043
20210111,284,52,3.3,8,18.30985915
20210112,342,75,6.8,14,21.92982456
20210113,419,99,9.6,14,23.62768496
20210114,423,44,4.5,11,10.40189125
20210115,408,45,11.7,18,11.02941176
20210116,392,48,10.8,15,12.24489796
20210117,360,45,6.2,13,12.5
20210118,327,74,12.4,24,22.62996942
20210119,367,40,4.3,15,10.89918256
20210120,409,49,5.6,11,11.9804401
