행정구역(시군구)별,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
인천광역시,615125,644004,669096,724905,745109,774322,794534,809671,829164,845739,872057,891606,908673,933686,965302,995712,1014755,1026936,1059664,1077563,1097491,1118988,1136280,1154004,1171399,1188917,1213201,1238641,1267956,1298647
중구,25074,24688,24257,24394,24475,25660,26021,26144,26403,27593,30002,33920,36821,38707,39329,39082,38994,39991,42065,42288,44368,47949,49874,51240,52218,54525,57887,65002,68379,71061
동구,33898,33252,31939,31482,30575,29744,27342,26982,26253,26523,26739,29528,30034,29474,29280,29286,29968,30943,32474,32208,31423,30966,30776,30371,30081,29870,28952,28739,28777,28681
남구,147836,164876,182336,131415,132979,134951,135263,137125,139631,144020,152081,157384,159882,158876,161439,163179,168330,169510,173785,171868,171293,171342,171507,171888,178444,182292,,,,
미추홀구,,,,,,,,,,,,,,,,,,,,,,,,,,,184275,184872,188277,193561
연수구,,,,64800,72903,78296,81149,82077,82976,83016,83213,83788,84610,89463,93776,94432,95062,96504,100065,102953,104748,107906,112015,115920,120580,123913,129806,140700,152266,155984
남동구,109426,112775,116961,119084,121233,124207,126555,128292,132897,134790,136423,135330,134286,135174,143117,157972,168414,173529,179592,188124,192030,194917,199768,208231,209885,214280,218945,221455,225394,228442
북구,220761,228146,231324,,,,,,,,,,,,,,,,,,,,,,,,,,,
부평구,,,,154957,159030,159797,166302,169841,176797,180135,187280,190442,193059,200093,205623,208567,210888,210135,214701,212946,213125,214173,216336,217217,216492,215192,212906,211851,211305,213372
계양구,,,,80547,82709,96873,102034,104611,106610,108537,111745,114119,115112,117132,122313,124259,124606,125826,128996,127929,127706,128889,128138,127063,126963,125936,124281,123283,124421,127984
서구,78130,80267,82279,91035,93601,96795,101678,106295,109031,112160,115348,117215,124078,132688,136814,143776,142084,143236,149708,160340,172946,182028,186599,190119,194008,199152,211847,217887,223229,232834
강화군,,,,22152,22491,22780,22758,22821,22974,23297,23459,23956,24522,25278,26170,27252,28210,28506,29055,29071,29308,29713,30184,30703,31106,31869,32556,33163,33915,34667
옹진군,,,,5039,5113,5219,5432,5483,5592,5668,5767,5924,6269,6801,7441,7907,8199,8756,9223,9836,10544,11105,11083,11252,11622,11888,11746,11689,11993,12061
