연도,인천인구수,출생건수,사망건수,자연증가건수
1992,2065866,42840,7661,35179
1993,2138426,41731,7906,33825
1994,2200769,41680,8459,33221
1995,2353073,41246,9505,31741
1996,2391824,39285,9662,29623
1997,2445613,38103,10203,27900
1998,2485199,35541,10160,25381
1999,2509086,34323,10358,23965
2000,2545769,34433,10751,23682
2001,2564598,30494,10607,19887
2002,2577989,26775,10757,16018
2003,2570194,26832,10924,15908
2004,2578817,25092,11042,14050
2005,2600495,23026,11144,11882
2006,2624391,23711,11068,12643
2007,2664576,26712,11376,15336
2008,2692696,25365,11366,13999
2009,2710579,24379,11662,12717
2010,2758296,25752,12087,13665
2011,2801274,26118,12504,13614
2012,2843981,27781,12881,14900
2013,2879782,25560,13039,12521
2014,2902608,25786,13409,12377
2015,2925815,25491,13452,12039
2016,2943069,23609,14119,9490
2017,2948542,20445,14290,6155
2018,2954642,20087,15316,4771
2019,2957026,18522,15131,3391
2020,2942828,16040,15689,351
